,Pressure Drop
pressure_none,0.0
pressure_experiment,79000.0
pressure_drop_total_Darcy_Guerri_conventional,355445.4334947683
pressure_drop_total_Darcy_Guerri_specific,996816.726397695
pressure_drop_total_Darcy_Guerri_fixed ,32542.02732105289
pressure_drop_total_Darcy_Kuroda_conventional,20861.365310727182
pressure_drop_total_Darcy_Kuroda_specific,58503.938769919754
pressure_drop_total_Darcy_Kuroda_fixed ,1909.9165608105675
pressure_drop_total_Darcy_fixed_conventional,4314.4498910675375
pressure_drop_total_Darcy_fixed_specific,12099.510674074074
pressure_drop_total_Darcy_fixed_fixed ,395.0
