,Units,brewery in ASM1
Volumetric Flowrate,meter ** 3 / second,0.00010624999999999994
Molar Alkalinity,mole / meter ** 3,40.03566666666668
Mass Concentration S_I,kilogram / meter ** 3,0.02
Mass Concentration S_S,kilogram / meter ** 3,5.600000000000001
Mass Concentration X_I,kilogram / meter ** 3,0.02500000000000001
Mass Concentration X_S,kilogram / meter ** 3,1.1559999999999995
Mass Concentration X_BH,kilogram / meter ** 3,1.0000000000000002e-10
Mass Concentration X_BA,kilogram / meter ** 3,1.0000000000000002e-10
Mass Concentration X_P,kilogram / meter ** 3,1.0000000000000002e-10
Mass Concentration S_O,kilogram / meter ** 3,1.0000000000000002e-10
Mass Concentration S_NO,kilogram / meter ** 3,1.0000000000000002e-10
Mass Concentration S_NH,kilogram / meter ** 3,0.140067
Mass Concentration S_ND,kilogram / meter ** 3,0.05999999999999999
Mass Concentration X_ND,kilogram / meter ** 3,0.053240000000000016
Temperature,kelvin,308.15
Pressure,pascal,101325.0
