,S_su, S_aa, S_fa, S_va, S_bu, S_pro, S_ac, S_h2, S_ch4, S_IC, S_IN, S_I, X_c, X_ch, X_pr, X_li, X_su, X_aa, X_fa, X_c4, X_pro, X_ac, X_h2, X_I, S_cat, S_an, H2O,Volumetric Flowrate
1,0.731084182,0.752786991,20.49054082,1.254585086,1.590596514,1.766504846,13.07518091,9.05E-06,41.51908874,560.0174633,205.7783968,86.31200271,40.23858694,0.756294677,0.988853295,0.901883399,377.6205404,95.6961897,10.44572095,79.7383084,40.71108674,17.54740651,84.46946979,111.5247401,40,20,990964.2007,9.620173803
2,0.790039484,0.802501965,21.04669803,1.360775936,1.724300924,1.970121006,13.57268753,9.82E-06,38.46547709,548.3503705,204.5085008,83.81876465,41.90318101,0.827308754,1.095906319,0.972365567,385.5089802,97.589401,10.7730415,81.51763062,40.42354499,22.78972038,85.5727304,111.9830298,40,20,990964.2007,7.61017695
3,2.440719332,1.912096426,29.20946531,3.663656025,4.753396605,5.722871828,21.25365187,2.56E-05,41.03354238,529.887684,193.1518283,61.20514811,63.18375017,2.775072599,4.199089529,2.738591967,453.3711669,110.2039437,11.97416939,80.98480167,34.75149985,101.2468298,89.74940898,98.62826037,40,20,990964.2007,9.06931602
4,1.969023044,1.636826549,27.6256128,3.122115934,4.006897853,5.012716233,19.37299443,2.18E-05,40.7061994,533.7668348,194.5249931,63.97945461,59.45953649,2.223083441,3.303782168,2.253926196,445.1571005,109.4446894,12.13320006,85.45703236,34.22718827,87.76080142,89.37029067,103.5785797,40,20,990964.2007,6.716631924
5,0.622173117,0.657064001,19.32807595,1.05364512,1.33795961,1.40700602,12.5721532,7.62E-06,39.65668493,558.6070129,208.7844854,92.18642859,36.70061898,0.624451725,0.793148728,0.767980584,359.0108496,91.15626008,9.66022072,75.43503823,40.43915201,8.576933041,81.25197476,112.1445279,40,20,990964.2007,5.364079485
6,1.244645273,1.156376721,24.44155317,2.113990094,2.680350216,3.613684277,15.92555947,1.53E-05,42.10749213,548.3990994,198.4876561,71.92129717,51.03901679,1.373584395,1.944461071,1.489499916,421.9359739,105.9264026,11.99139776,88.72280811,33.54549551,57.23262561,86.96082434,112.2795284,40,20,990964.2007,7.090932516
7,0.784747459,0.79833773,21.00074689,1.351853523,1.713114743,1.952379584,13.60420863,9.75E-06,37.52891155,545.3184426,204.6116772,84.02049316,41.76550995,0.821246966,1.086737132,0.966380284,384.8741981,97.43889984,10.74559902,81.37628737,40.46260035,22.25256646,85.49405322,111.8777878,40,20,990964.1992,6.321601298
8,0.956247688,0.938025929,22.46097739,1.650933119,2.090796864,2.57917075,14.64992293,1.19E-05,36.98443695,538.3468831,201.6893912,78.26486919,45.90218407,1.028707686,1.404437253,1.167331963,402.7466046,101.6631822,11.44504415,85.29143653,38.3422428,37.23215159,87.05021128,113.2843506,40,20,990963.8785,5.562392879
9,0.66099829,0.691802607,19.76486009,1.126058474,1.428954894,1.532263859,12.9648111,8.13E-06,36.6994443,546.895731,207.5928615,89.85966088,38.03037731,0.671397016,0.862353782,0.816138757,366.3605709,92.95580535,9.96334782,77.14596052,40.68679209,11.25382145,82.60992694,111.3119347,40,20,990964.2007,7.806895991
10,3.376200358,2.412174165,32.42775731,4.649320858,6.167541228,7.030911129,24.95969567,3.27E-05,38.40549591,512.721573,191.3959148,57.65255157,68.66119746,3.865266427,5.980353837,3.682812231,463.7378772,111.0072466,11.71787571,70.77041308,35.39998759,121.7332688,89.4110217,93.31472382,40,20,990964.2007,9.894795021
11,1.654986183,1.439229428,26.4350338,2.717476555,3.465787885,4.486764094,17.80552759,1.91E-05,44.03975599,547.4214212,195.8273114,66.60300947,56.35089054,1.855792364,2.712402029,1.927078881,437.4487073,108.4986808,12.16023673,87.7616303,33.61579989,76.82434023,88.57273379,107.5201583,40,20,990964.2007,6.058176479
12,4.510599384,2.966621371,36.71857647,5.861149899,7.949593028,8.579483963,28.31371521,4.12E-05,41.96018194,516.0398992,189.8369377,54.54444361,73.42946764,5.151497807,8.093724847,4.785019469,471.2073259,111.7039636,11.48678687,58.90977611,36.18495214,141.8784521,88.58933151,89.3174054,40,20,990964.2007,8.261978585
13,1.929473557,1.61207402,27.48042057,3.072179432,3.939339863,4.947408627,19.53073147,2.15E-05,36.88821606,521.3040539,194.6903818,64.30731003,59.09197725,2.176493215,3.22857657,2.212656469,444.3054487,109.355172,12.1478624,85.81629547,34.16454181,85.97094756,89.3075274,103.9953545,40,20,990964.2007,9.434445495
14,1.059682737,1.018350726,23.23304794,1.821921404,2.3076203,2.971052789,15.35830633,1.38E-05,35.65181899,527.4607449,200.346978,75.64200475,47.94575704,1.15278596,1.597384228,1.284580672,410.8043938,103.5174205,11.70786454,86.95849199,36.45106599,44.84338534,87.35228597,113.2499697,40,20,990964.2007,5.957864131
15,0.850260075,0.852766386,21.59142524,1.468599652,1.860331378,2.188336303,13.77881445,1.12E-05,41.15992239,549.5993064,203.3368359,81.55982134,43.48736657,0.900808819,1.207657875,1.044364171,392.5327394,99.26704933,11.06256027,83.08062899,39.8423229,28.53922736,86.60983541,112.759104,40,20,990964.2006,5.161501852
16,1.38832116,1.258436383,25.21425768,2.332515552,2.962140736,3.971102991,17.13455391,1.67E-05,35.5360391,523.4183158,197.3017802,69.78344112,53.092039,1.543027045,2.213013403,1.644554161,428.4155125,107.1232746,12.09786759,88.92413425,33.04361167,64.15900342,87.48512284,110.6077481,40,20,990964.2007,7.011931625
17,0.695168231,0.721783233,20.12810382,1.18905668,1.508157842,1.645492184,12.94206669,8.58E-06,40.15064195,557.1599607,206.6600723,88.03793753,39.13900612,0.712812917,0.923850989,0.858181304,372.1405276,94.36736323,10.21223656,78.48414258,40.75522039,14.27308669,83.60103751,111.3129011,40,20,990964.2006,8.784622597
18,12.87327083,6.278567843,67.96946444,11.86673777,16.30522383,19.14589277,50.64321486,9.84E-05,54.24020967,517.3055045,183.8558251,43.26813544,90.40901649,13.6809788,22.21117801,11.9912689,478.1144153,110.2015534,11.13164135,71.33731505,44.4621325,201.0997491,96.29001623,70.68400636,40,20,990964.2007,8.246264068
19,1.071049082,1.027535304,23.32428809,1.841130829,2.332026633,3.018476529,14.97242027,1.33E-05,42.61797326,553.4780018,200.200425,75.32322802,48.16605468,1.167061388,1.619689025,1.297964446,411.6414072,103.712292,11.73612601,87.12582261,36.17491556,46.30895141,87.09902915,113.448123,40,20,990964.2007,7.338991114
20,7.463563658,4.198010449,47.39723439,8.013641313,10.95920648,12.18930803,36.86759211,6.18E-05,43.69557256,506.9209344,187.0994934,49.24900046,81.70240396,8.244247705,13.19790367,7.412715593,476.5144826,110.750583,11.11480391,63.18316156,38.85246662,173.2089707,91.32395875,81.1768023,40,20,990964.2007,8.534119085
