t,F_t
0.765279234,0.012658228
0.864467511,0.100948486
0.942030853,0.234218351
1.005244405,0.344075785
1.038698609,0.414078018
1.095968883,0.499089125
1.156948335,0.596488135
1.215793936,0.664104463
1.293930124,0.737139029
1.400608362,0.795246994
1.505582384,0.843399974
1.629617854,0.871090582
1.740220087,0.889155295
1.826175623,0.899110281
1.941102843,0.913190649
2.004416642,0.914060388
2.078414019,0.912955585
2.200473171,0.922534466
2.324823707,0.926777382
2.444204804,0.924567775
2.532322833,0.924567775
2.590309165,0.928610886
